IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,WPR,Western Pacific,Country,BRN,Brunei Darussalam,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,15-29  years,AGEGROUP_YEARS15-29,,,,,,,0,,,,,,0,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,GRD,Grenada,Year,2019,true,Sex,Both sexes,SEX_BTSX,Age Group,15-29  years,AGEGROUP_YEARS15-29,,,,,,,0,,,,,,0,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,GRD,Grenada,Year,2019,true,Sex,Both sexes,SEX_BTSX,Age Group,30-49 years,AGEGROUP_YEARS30-49,,,,,,,0,,,,,,0,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,GRD,Grenada,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,15-29  years,AGEGROUP_YEARS15-29,,,,,,,0,,,,,,0,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,GRD,Grenada,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,30-49 years,AGEGROUP_YEARS30-49,,,,,,,0,,,,,,0,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,GRD,Grenada,Year,2019,true,Sex,Male,SEX_MLE,Age Group,15-29  years,AGEGROUP_YEARS15-29,,,,,,,0,,,,,,0,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,GRD,Grenada,Year,2019,true,Sex,Male,SEX_MLE,Age Group,30-49 years,AGEGROUP_YEARS30-49,,,,,,,0,,,,,,0,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,VCT,Saint Vincent and the Grenadines,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,15-29  years,AGEGROUP_YEARS15-29,,,,,,,0,,,,,,0,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,VCT,Saint Vincent and the Grenadines,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,30-49 years,AGEGROUP_YEARS30-49,,,,,,,0,,,,,,0,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,BRB,Barbados,Year,2019,true,Sex,Both sexes,SEX_BTSX,Age Group,30-49 years,AGEGROUP_YEARS30-49,,,,,,,0.42,,,,,,0.4,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,PAN,Panama,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,30-49 years,AGEGROUP_YEARS30-49,,,,,,,0.63,,,,,,0.6,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,HND,Honduras,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,15-29  years,AGEGROUP_YEARS15-29,,,,,,,0.72,,,,,,0.7,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,SEAR,South-East Asia,Country,MDV,Maldives,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,30-49 years,AGEGROUP_YEARS30-49,,,,,,,0.7,,,,,,0.7,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AFR,Africa,Country,STP,Sao Tome and Principe,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,15-29  years,AGEGROUP_YEARS15-29,,,,,,,0.67,,,,,,0.7,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EMR,Eastern Mediterranean,Country,JOR,Jordan,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,15-29  years,AGEGROUP_YEARS15-29,,,,,,,0.84,,,,,,0.8,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AFR,Africa,Country,NGA,Nigeria,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,15-29  years,AGEGROUP_YEARS15-29,,,,,,,0.81,,,,,,0.8,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,VEN,Venezuela (Bolivarian Republic of),Year,2019,true,Sex,Female,SEX_FMLE,Age Group,30-49 years,AGEGROUP_YEARS30-49,,,,,,,0.76,,,,,,0.8,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,ARM,Armenia,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,30-49 years,AGEGROUP_YEARS30-49,,,,,,,0.89,,,,,,0.9,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,BRB,Barbados,Year,2019,true,Sex,Male,SEX_MLE,Age Group,30-49 years,AGEGROUP_YEARS30-49,,,,,,,0.86,,,,,,0.9,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AFR,Africa,Country,GHA,Ghana,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,15-29  years,AGEGROUP_YEARS15-29,,,,,,,0.87,,,,,,0.9,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,HND,Honduras,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,30-49 years,AGEGROUP_YEARS30-49,,,,,,,0.85,,,,,,0.9,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EMR,Eastern Mediterranean,Country,KWT,Kuwait,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,15-29  years,AGEGROUP_YEARS15-29,,,,,,,0.9,,,,,,0.9,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,VCT,Saint Vincent and the Grenadines,Year,2019,true,Sex,Both sexes,SEX_BTSX,Age Group,30-49 years,AGEGROUP_YEARS30-49,,,,,,,0.87,,,,,,0.9,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EMR,Eastern Mediterranean,Country,SYR,Syrian Arab Republic,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,15-29  years,AGEGROUP_YEARS15-29,,,,,,,0.89,,,,,,0.9,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EMR,Eastern Mediterranean,Country,SYR,Syrian Arab Republic,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,30-49 years,AGEGROUP_YEARS30-49,,,,,,,0.93,,,,,,0.9,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,GRC,Greece,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,15-29  years,AGEGROUP_YEARS15-29,,,,,,,0.98,,,,,,1,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,SEAR,South-East Asia,Country,IDN,Indonesia,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,15-29  years,AGEGROUP_YEARS15-29,,,,,,,0.99,,,,,,1,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AFR,Africa,Country,MRT,Mauritania,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,15-29  years,AGEGROUP_YEARS15-29,,,,,,,1.05,,,,,,1,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,VEN,Venezuela (Bolivarian Republic of),Year,2019,true,Sex,Female,SEX_FMLE,Age Group,15-29  years,AGEGROUP_YEARS15-29,,,,,,,0.95,,,,,,1,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,SEAR,South-East Asia,Country,IDN,Indonesia,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,30-49 years,AGEGROUP_YEARS30-49,,,,,,,0.99,,,,,,1.0,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EMR,Eastern Mediterranean,Country,JOR,Jordan,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,30-49 years,AGEGROUP_YEARS30-49,,,,,,,1.03,,,,,,1.0,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AFR,Africa,Country,GAB,Gabon,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,15-29  years,AGEGROUP_YEARS15-29,,,,,,,1.07,,,,,,1.1,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,JAM,Jamaica,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,15-29  years,AGEGROUP_YEARS15-29,,,,,,,1.09,,,,,,1.1,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EMR,Eastern Mediterranean,Country,KWT,Kuwait,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,30-49 years,AGEGROUP_YEARS30-49,,,,,,,1.08,,,,,,1.1,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EMR,Eastern Mediterranean,Country,OMN,Oman,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,30-49 years,AGEGROUP_YEARS30-49,,,,,,,1.06,,,,,,1.1,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,WPR,Western Pacific,Country,PHL,Philippines,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,30-49 years,AGEGROUP_YEARS30-49,,,,,,,1.11,,,,,,1.1,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AFR,Africa,Country,STP,Sao Tome and Principe,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,30-49 years,AGEGROUP_YEARS30-49,,,,,,,1.14,,,,,,1.1,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,TUR,Türkiye,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,30-49 years,AGEGROUP_YEARS30-49,,,,,,,1.08,,,,,,1.1,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,ALB,Albania,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,30-49 years,AGEGROUP_YEARS30-49,,,,,,,1.17,,,,,,1.2,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,ARM,Armenia,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,15-29  years,AGEGROUP_YEARS15-29,,,,,,,1.24,,,,,,1.2,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,ITA,Italy,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,15-29  years,AGEGROUP_YEARS15-29,,,,,,,1.16,,,,,,1.2,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,SEAR,South-East Asia,Country,MMR,Myanmar,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,15-29  years,AGEGROUP_YEARS15-29,,,,,,,1.17,,,,,,1.2,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,SEAR,South-East Asia,Country,MMR,Myanmar,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,30-49 years,AGEGROUP_YEARS30-49,,,,,,,1.2,,,,,,1.2,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,ARM,Armenia,Year,2019,true,Sex,Both sexes,SEX_BTSX,Age Group,15-29  years,AGEGROUP_YEARS15-29,,,,,,,1.26,,,,,,1.3,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,ARM,Armenia,Year,2019,true,Sex,Male,SEX_MLE,Age Group,15-29  years,AGEGROUP_YEARS15-29,,,,,,,1.29,,,,,,1.3,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,CYP,Cyprus,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,15-29  years,AGEGROUP_YEARS15-29,,,,,,,1.28,,,,,,1.3,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AFR,Africa,Country,GHA,Ghana,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,30-49 years,AGEGROUP_YEARS30-49,,,,,,,1.32,,,,,,1.3,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,SEAR,South-East Asia,Country,MDV,Maldives,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,15-29  years,AGEGROUP_YEARS15-29,,,,,,,1.34,,,,,,1.3,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,WPR,Western Pacific,Country,PHL,Philippines,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,15-29  years,AGEGROUP_YEARS15-29,,,,,,,1.33,,,,,,1.3,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AFR,Africa,Country,SSD,South Sudan,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,15-29  years,AGEGROUP_YEARS15-29,,,,,,,1.33,,,,,,1.3,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AFR,Africa,Country,UGA,Uganda,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,15-29  years,AGEGROUP_YEARS15-29,,,,,,,1.26,,,,,,1.3,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AFR,Africa,Country,AGO,Angola,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,15-29  years,AGEGROUP_YEARS15-29,,,,,,,1.39,,,,,,1.4,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,AZE,Azerbaijan,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,15-29  years,AGEGROUP_YEARS15-29,,,,,,,1.36,,,,,,1.4,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,CYP,Cyprus,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,30-49 years,AGEGROUP_YEARS30-49,,,,,,,1.44,,,,,,1.4,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AFR,Africa,Country,COD,Democratic Republic of the Congo,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,15-29  years,AGEGROUP_YEARS15-29,,,,,,,1.42,,,,,,1.4,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,JAM,Jamaica,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,30-49 years,AGEGROUP_YEARS30-49,,,,,,,1.35,,,,,,1.4,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AFR,Africa,Country,MWI,Malawi,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,15-29  years,AGEGROUP_YEARS15-29,,,,,,,1.37,,,,,,1.4,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AFR,Africa,Country,MWI,Malawi,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,30-49 years,AGEGROUP_YEARS30-49,,,,,,,1.4,,,,,,1.4,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,15-29  years,AGEGROUP_YEARS15-29,,,,,,,1.41,,,,,,1.4,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,PER,Peru,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,30-49 years,AGEGROUP_YEARS30-49,,,,,,,1.43,,,,,,1.4,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,LCA,Saint Lucia,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,15-29  years,AGEGROUP_YEARS15-29,,,,,,,1.45,,,,,,1.4,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,SRB,Serbia,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,15-29  years,AGEGROUP_YEARS15-29,,,,,,,1.44,,,,,,1.4,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AFR,Africa,Country,TZA,United Republic of Tanzania,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,15-29  years,AGEGROUP_YEARS15-29,,,,,,,1.44,,,,,,1.4,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,AZE,Azerbaijan,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,30-49 years,AGEGROUP_YEARS30-49,,,,,,,1.49,,,,,,1.5,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,ISL,Iceland,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,30-49 years,AGEGROUP_YEARS30-49,,,,,,,1.46,,,,,,1.5,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,VCT,Saint Vincent and the Grenadines,Year,2019,true,Sex,Both sexes,SEX_BTSX,Age Group,15-29  years,AGEGROUP_YEARS15-29,,,,,,,1.46,,,,,,1.5,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AFR,Africa,Country,COG,Congo,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,15-29  years,AGEGROUP_YEARS15-29,,,,,,,1.62,,,,,,1.6,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AFR,Africa,Country,ETH,Ethiopia,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,15-29  years,AGEGROUP_YEARS15-29,,,,,,,1.64,,,,,,1.6,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AFR,Africa,Country,KEN,Kenya,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,15-29  years,AGEGROUP_YEARS15-29,,,,,,,1.64,,,,,,1.6,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,MLT,Malta,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,15-29  years,AGEGROUP_YEARS15-29,,,,,,,1.6,,,,,,1.6,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,SEAR,South-East Asia,Country,BGD,Bangladesh,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,30-49 years,AGEGROUP_YEARS30-49,,,,,,,1.71,,,,,,1.7,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,SEAR,South-East Asia,Country,BTN,Bhutan,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,15-29  years,AGEGROUP_YEARS15-29,,,,,,,1.67,,,,,,1.7,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AFR,Africa,Country,CPV,Cabo Verde,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,15-29  years,AGEGROUP_YEARS15-29,,,,,,,1.72,,,,,,1.7,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,COL,Colombia,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,30-49 years,AGEGROUP_YEARS30-49,,,,,,,1.71,,,,,,1.7,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AFR,Africa,Country,GMB,Gambia,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,15-29  years,AGEGROUP_YEARS15-29,,,,,,,1.66,,,,,,1.7,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,HND,Honduras,Year,2019,true,Sex,Both sexes,SEX_BTSX,Age Group,15-29  years,AGEGROUP_YEARS15-29,,,,,,,1.66,,,,,,1.7,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,ROU,Romania,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,15-29  years,AGEGROUP_YEARS15-29,,,,,,,1.66,,,,,,1.7,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,VCT,Saint Vincent and the Grenadines,Year,2019,true,Sex,Male,SEX_MLE,Age Group,30-49 years,AGEGROUP_YEARS30-49,,,,,,,1.73,,,,,,1.7,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AFR,Africa,Country,STP,Sao Tome and Principe,Year,2019,true,Sex,Both sexes,SEX_BTSX,Age Group,15-29  years,AGEGROUP_YEARS15-29,,,,,,,1.72,,,,,,1.7,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AFR,Africa,Country,SEN,Senegal,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,15-29  years,AGEGROUP_YEARS15-29,,,,,,,1.69,,,,,,1.7,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AFR,Africa,Country,SYC,Seychelles,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,15-29  years,AGEGROUP_YEARS15-29,,,,,,,1.73,,,,,,1.7,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AFR,Africa,Country,SYC,Seychelles,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,30-49 years,AGEGROUP_YEARS30-49,,,,,,,1.67,,,,,,1.7,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,SEAR,South-East Asia,Country,THA,Thailand,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,15-29  years,AGEGROUP_YEARS15-29,,,,,,,1.67,,,,,,1.7,,,EN,2021-07-16T07:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,WPR,Western Pacific,Country,BRN,Brunei Darussalam,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,30-49 years,AGEGROUP_YEARS30-49,,,,,,,1.84,,,,,,1.8,,,EN,2021-07-16T07:00:00.000Z
